longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.66,34.13,19.0,3995.0,554.0,1523.0,509.0,6.075,254100.0
-121.48,38.55,52.0,1684.0,309.0,675.0,296.0,4.1467,175000.0
-122.36,37.96,30.0,950.0,317.0,1073.0,280.0,1.8664,107800.0
-117.77,33.69,14.0,1413.0,372.0,744.0,338.0,3.7988,184100.0
-119.82,36.76,41.0,1973.0,399.0,1107.0,375.0,1.8971,66900.0
-121.37,38.57,22.0,4899.0,847.0,1701.0,826.0,5.2449,387000.0
-118.18,34.13,39.0,2902.0,460.0,1007.0,420.0,6.1953,363000.0
-121.62,39.76,14.0,2063.0,559.0,934.0,529.0,1.7788,85800.0
-122.16,37.44,34.0,2199.0,529.0,1193.0,532.0,4.2972,405900.0
-117.88,33.87,35.0,1919.0,349.0,1302.0,345.0,5.6409,190900.0
-121.83,36.62,33.0,1771.0,398.0,1037.0,388.0,2.7708,161800.0
-122.37,37.93,45.0,3150.0,756.0,1798.0,749.0,1.75,37900.0
-118.01,34.07,24.0,5684.0,1485.0,6626.0,1481.0,2.2559,166800.0
-117.23,33.19,22.0,2554.0,447.0,1147.0,422.0,3.6346,192500.0
-121.27,37.98,43.0,1005.0,200.0,492.0,172.0,2.6812,72800.0
-117.07,32.8,31.0,2550.0,395.0,1017.0,405.0,5.1488,181000.0
-116.89,32.82,18.0,2515.0,443.0,1442.0,449.0,5.0201,154400.0
-117.05,32.59,26.0,1919.0,345.0,1326.0,341.0,4.2679,131900.0
-117.7,34.06,25.0,2054.0,609.0,2271.0,564.0,2.3049,150000.0
-118.13,34.15,9.0,2099.0,625.0,1252.0,554.0,3.1875,173100.0
-117.81,33.56,24.0,6258.0,1003.0,1730.0,752.0,10.9601,500001.0
-117.63,34.12,4.0,4323.0,775.0,1479.0,663.0,6.0758,226800.0
-121.24,38.78,11.0,1851.0,352.0,1049.0,369.0,3.5288,141100.0
-116.92,32.76,9.0,1859.0,307.0,947.0,304.0,5.9202,181300.0
-118.38,34.03,36.0,2101.0,569.0,1756.0,527.0,2.9344,222100.0
-122.34,40.57,24.0,1610.0,307.0,748.0,307.0,2.6591,82800.0
-122.03,38.0,25.0,3577.0,581.0,1753.0,593.0,5.7295,178300.0
-117.89,33.7,13.0,1857.0,572.0,838.0,525.0,3.2386,129200.0
-121.42,38.7,10.0,2562.0,460.0,1478.0,433.0,4.0625,96200.0
-118.27,33.82,39.0,1357.0,249.0,763.0,229.0,4.25,200300.0
-118.3,34.04,50.0,1757.0,522.0,2080.0,488.0,1.7225,180000.0
-118.53,34.21,18.0,3124.0,796.0,1855.0,725.0,2.9389,213200.0
-120.85,35.38,27.0,3493.0,909.0,1481.0,666.0,2.3075,184200.0
-117.11,33.11,17.0,2641.0,627.0,1167.0,647.0,2.2875,132400.0
-117.49,33.93,26.0,2970.0,576.0,2156.0,558.0,3.9522,124600.0
-121.82,37.31,22.0,2044.0,402.0,1925.0,429.0,3.7102,177500.0
-118.33,34.15,44.0,1321.0,303.0,471.0,301.0,4.2679,331800.0
-117.13,34.24,17.0,2828.0,506.0,673.0,274.0,5.2563,144100.0
-117.7,34.07,33.0,1552.0,288.0,1326.0,303.0,3.7969,128400.0
-118.42,33.92,25.0,3521.0,852.0,1524.0,764.0,3.8086,361300.0
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0
-119.78,36.72,22.0,354.0,121.0,530.0,115.0,2.1458,34400.0
-116.92,32.84,16.0,4675.0,834.0,2188.0,817.0,4.6674,178000.0
-117.65,33.46,19.0,7034.0,1139.0,2824.0,1068.0,6.0873,277300.0
-124.16,40.8,52.0,2167.0,480.0,908.0,451.0,1.6111,74700.0
-121.96,38.32,12.0,5127.0,998.0,2749.0,976.0,4.0458,130600.0
-118.44,34.16,33.0,1616.0,322.0,580.0,311.0,4.0391,337500.0
-121.62,36.74,30.0,1337.0,253.0,838.0,247.0,5.0374,165400.0
-122.15,37.74,52.0,2898.0,557.0,1338.0,550.0,3.8510000000000004,183500.0
-121.54,39.13,18.0,4289.0,1021.0,2707.0,939.0,1.3375,59600.0
-118.83,34.17,17.0,4668.0,628.0,1917.0,624.0,8.1397,353900.0
-118.26,33.78,21.0,2188.0,706.0,2265.0,652.0,1.9923,164700.0
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0
-117.29,33.18,17.0,821.0,176.0,436.0,168.0,3.1667,160600.0
-118.39,34.06,43.0,1879.0,397.0,873.0,382.0,3.8158,500001.0
-121.99,37.54,28.0,3046.0,507.0,1772.0,516.0,5.3283,227900.0
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0
-122.32,37.93,33.0,296.0,73.0,216.0,63.0,2.675,22500.0
-120.02,36.95,25.0,2115.0,482.0,1976.0,474.0,1.8431,53900.0
-118.11,33.91,22.0,1981.0,472.0,1231.0,457.0,4.0878,153700.0
-118.28,33.77,47.0,307.0,69.0,374.0,65.0,2.9063,146900.0
-121.86,37.4,19.0,4043.0,764.0,2196.0,708.0,6.1504,268400.0
-118.38,34.17,30.0,2016.0,622.0,1359.0,557.0,2.7708,192300.0
-121.76,38.55,23.0,8800.0,1857.0,6330.0,1832.0,2.065,219400.0
-122.47,37.71,37.0,1046.0,251.0,822.0,239.0,3.5,224400.0
-118.17,33.87,48.0,2258.0,509.0,1395.0,492.0,3.765,164800.0
-118.26,34.02,40.0,1259.0,362.0,1499.0,327.0,1.8382,126400.0
-117.68,35.65,15.0,2701.0,576.0,1245.0,513.0,3.3269,81900.0
-121.95,37.39,24.0,5230.0,934.0,3795.0,970.0,5.4228,264100.0
-118.41,34.18,35.0,1975.0,384.0,882.0,406.0,4.375,291700.0
-115.53,32.99,25.0,2578.0,634.0,2082.0,565.0,1.7159,62200.0
-121.54,38.59,29.0,2242.0,493.0,1481.0,478.0,2.0781,74800.0
-117.21,32.83,28.0,3241.0,533.0,1334.0,513.0,4.1806,199600.0
-117.96,34.07,32.0,2910.0,709.0,2583.0,670.0,3.7736,158400.0
-117.69,33.8,5.0,3178.0,631.0,1467.0,581.0,5.2541,237100.0
-117.14,33.81,13.0,4496.0,756.0,2044.0,695.0,3.2778,148800.0
-120.27,39.35,11.0,2520.0,401.0,397.0,165.0,4.665,145600.0
-122.29,38.31,25.0,4927.0,1005.0,2756.0,998.0,2.7325,162900.0
-121.54,39.33,27.0,720.0,150.0,359.0,138.0,2.5313,61300.0
-122.73,38.47,16.0,1834.0,391.0,994.0,390.0,3.7266,156500.0
-122.27,37.74,28.0,6909.0,1554.0,2974.0,1484.0,3.6875,353900.0
-118.27,34.15,7.0,2837.0,776.0,2287.0,736.0,3.008,229000.0
-118.0,33.79,18.0,3679.0,694.0,1820.0,652.0,3.6531,143500.0
-117.46,34.07,19.0,3155.0,572.0,2482.0,642.0,2.9973,113400.0
-120.44,34.93,16.0,2098.0,558.0,1252.0,492.0,2.1509,67500.0
-118.12,34.09,25.0,3603.0,1003.0,2719.0,913.0,2.6981,208000.0
-118.04,33.99,47.0,2530.0,565.0,1262.0,509.0,3.6475,197100.0
-124.14,40.77,27.0,3046.0,605.0,1407.0,571.0,2.9143,99600.0
-121.95,37.32,20.0,1145.0,198.0,431.0,173.0,3.1103,281900.0
-117.92,34.06,35.0,2894.0,467.0,1420.0,479.0,5.184,224900.0
-120.79,37.49,44.0,1186.0,225.0,687.0,234.0,3.4167,160700.0
-117.88,33.89,19.0,3583.0,911.0,2300.0,871.0,3.0214,218400.0
-117.93,33.69,19.0,2602.0,439.0,1156.0,424.0,5.01,263800.0
-118.2,33.81,45.0,944.0,178.0,533.0,193.0,3.4808,206900.0
-121.27,37.56,31.0,1223.0,330.0,1067.0,245.0,2.8558,100000.0
-118.12,34.06,35.0,1729.0,438.0,1308.0,412.0,2.5321,197200.0
-120.5,37.32,13.0,1936.0,384.0,1158.0,367.0,2.75,83200.0
-121.2,37.8,24.0,1698.0,344.0,927.0,313.0,3.5625,130800.0
-118.04,34.1,39.0,2302.0,412.0,1590.0,406.0,4.8017,273800.0
-117.12,32.71,24.0,421.0,101.0,396.0,113.0,0.6433,111300.0
-117.76,33.81,2.0,582.0,70.0,199.0,64.0,7.1193,500001.0
-122.3,37.54,39.0,4292.0,1097.0,1758.0,987.0,2.9405,340500.0
-122.41,37.64,38.0,1204.0,268.0,921.0,247.0,4.4464,215400.0
-118.38,33.81,33.0,2349.0,407.0,954.0,373.0,6.4956,483600.0
-120.98,39.08,20.0,4570.0,906.0,2125.0,815.0,3.0403,148000.0
-120.85,37.49,42.0,264.0,72.0,310.0,70.0,1.4063,61500.0
-119.77,36.91,3.0,7520.0,1143.0,2878.0,1077.0,5.3272,174200.0
-117.72,34.06,32.0,2209.0,654.0,1718.0,569.0,1.9643,113200.0
-122.3,37.92,32.0,3943.0,605.0,1524.0,614.0,6.0677,321600.0
-117.88,33.76,17.0,1768.0,474.0,1079.0,436.0,1.7823,205300.0
-120.07,36.97,27.0,968.0,240.0,587.0,231.0,1.6071,55000.0
-121.74,36.47,28.0,1973.0,343.0,970.0,349.0,4.25,279100.0
-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,321100.0
-120.43,34.87,26.0,1699.0,272.0,799.0,266.0,3.9871,157700.0
-117.3,33.05,34.0,1797.0,458.0,775.0,391.0,3.2308,331300.0
-120.89,37.48,27.0,1118.0,195.0,647.0,209.0,2.9135,159400.0
-118.4,34.15,41.0,2394.0,500.0,837.0,417.0,4.3889,380400.0
-117.31,33.16,17.0,1704.0,263.0,781.0,281.0,5.6605,224400.0
-118.3,33.95,35.0,1182.0,305.0,977.0,283.0,1.5898,94000.0
-117.8,33.79,13.0,2021.0,362.0,1081.0,341.0,4.3269,231400.0
-120.43,34.95,43.0,2020.0,344.0,692.0,310.0,3.6815,181800.0
-117.9,34.1,31.0,3007.0,653.0,1766.0,616.0,3.7083,166000.0
-119.19,35.96,25.0,2014.0,402.0,1160.0,362.0,1.881,52500.0
-121.4,36.84,40.0,2352.0,536.0,1430.0,535.0,3.0912,155300.0
-118.21,33.97,49.0,1409.0,313.0,1268.0,317.0,3.9408,170600.0
-117.26,34.24,10.0,4750.0,844.0,1220.0,428.0,4.5536,132400.0
-119.81,36.73,51.0,956.0,196.0,662.0,180.0,2.101,56700.0
-117.14,33.94,5.0,4873.0,639.0,1947.0,568.0,6.3223,223200.0
-119.78,34.45,9.0,1830.0,353.0,1515.0,220.0,4.2109,450000.0
-115.38,32.81,35.0,1263.0,262.0,950.0,241.0,1.8958,67500.0
-121.26,37.94,43.0,1610.0,412.0,1409.0,365.0,1.7574,51700.0
-118.2,34.05,43.0,1165.0,317.0,1279.0,303.0,1.9615,141700.0
-118.39,33.87,19.0,3303.0,584.0,1329.0,569.0,7.521,340400.0
-119.01,35.38,44.0,434.0,110.0,274.0,86.0,1.1944,57500.0
-122.47,37.78,52.0,3021.0,569.0,1479.0,514.0,4.0208,414600.0
-122.47,37.78,52.0,2275.0,412.0,1166.0,424.0,4.0652,421300.0
-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,4.65,206800.0
-122.2,37.46,40.0,1723.0,208.0,976.0,209.0,9.8892,500001.0
-117.31,34.53,26.0,2299.0,496.0,1259.0,441.0,2.6125,79900.0
-121.98,37.96,12.0,5048.0,1122.0,2209.0,1014.0,3.1573,126700.0
-121.62,36.68,43.0,2534.0,592.0,2448.0,603.0,2.4884,130500.0
-121.24,38.72,12.0,3605.0,576.0,1556.0,549.0,4.9,203700.0
-122.08,37.34,28.0,1643.0,216.0,594.0,205.0,12.367,500001.0
-122.27,37.88,44.0,2252.0,592.0,989.0,550.0,3.0132,272900.0
-119.35,36.2,31.0,1783.0,382.0,1266.0,358.0,2.2264,50800.0
-118.26,34.14,6.0,1727.0,506.0,1200.0,439.0,4.1083,210700.0
-122.36,37.95,38.0,1042.0,289.0,773.0,248.0,2.7714,104700.0
-118.22,33.83,42.0,1370.0,299.0,1018.0,328.0,4.4474,160200.0
-117.62,33.43,23.0,4052.0,955.0,1950.0,859.0,4.0647,240600.0
-117.3,34.07,34.0,567.0,143.0,387.0,138.0,1.7981,73300.0
-122.34,40.32,12.0,3848.0,689.0,2008.0,683.0,2.6352,92200.0
-122.43,37.73,49.0,1435.0,322.0,1008.0,329.0,4.0,264000.0
-123.17,40.31,36.0,98.0,28.0,18.0,8.0,0.536,14999.0
-122.58,38.46,15.0,2936.0,517.0,1182.0,501.0,3.3981,246900.0
-118.19,33.86,42.0,1999.0,431.0,1060.0,399.0,3.7031,167100.0
-121.0,38.58,12.0,3425.0,549.0,1357.0,451.0,5.3344,217500.0
-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3.0859,134600.0
-120.87,35.41,16.0,2168.0,444.0,782.0,374.0,3.0187,278100.0
-120.37,37.98,29.0,2508.0,591.0,1112.0,550.0,1.6021,91400.0
-122.17,37.72,43.0,3783.0,814.0,2139.0,789.0,4.0202,166300.0
-117.04,32.9,6.0,6525.0,826.0,3146.0,806.0,9.2858,436100.0
-118.2,33.96,41.0,1512.0,400.0,1690.0,367.0,3.055,167000.0
-117.23,34.15,17.0,5036.0,817.0,2084.0,833.0,4.6445,137200.0
-118.22,34.07,36.0,839.0,250.0,1079.0,245.0,1.7463,158300.0
-121.0,37.67,27.0,2278.0,479.0,995.0,449.0,2.5148,110200.0
-117.22,34.44,5.0,4787.0,910.0,1944.0,806.0,2.6576,98500.0
-121.24,38.63,4.0,11021.0,1565.0,3857.0,1494.0,7.2582,273200.0
-118.14,33.94,35.0,2987.0,601.0,1561.0,606.0,4.0039,226500.0
-118.3,33.98,48.0,1998.0,410.0,1176.0,382.0,3.0455,102400.0
-121.32,38.7,16.0,2966.0,578.0,1365.0,480.0,3.2444,118400.0
-118.44,34.5,5.0,1514.0,220.0,1355.0,215.0,8.1344,359000.0
-117.18,33.16,15.0,5923.0,1206.0,3943.0,1006.0,3.1793,159900.0
-120.94,37.59,16.0,3964.0,824.0,2622.0,766.0,2.3152,111300.0
-117.19,32.78,34.0,4108.0,664.0,1659.0,644.0,4.4097,252000.0
-117.38,33.67,17.0,10145.0,2306.0,4776.0,1749.0,2.2423,132600.0
-118.21,33.93,30.0,2831.0,862.0,3649.0,883.0,1.9668,152100.0
-122.87,38.43,36.0,1987.0,387.0,1065.0,347.0,4.0446,172200.0
-117.2,32.79,34.0,757.0,212.0,409.0,222.0,3.2312,192200.0
-117.41,34.09,21.0,3300.0,587.0,1896.0,572.0,3.6466,130600.0
-122.03,38.26,25.0,4617.0,1046.0,2685.0,1011.0,2.9576,108500.0
-122.86,38.61,52.0,1753.0,380.0,982.0,380.0,3.4013,183300.0
-118.4,33.9,37.0,2458.0,400.0,920.0,375.0,7.8924,500001.0
-118.13,34.69,34.0,2156.0,397.0,1269.0,388.0,2.75,96800.0
-117.85,33.9,25.0,1548.0,256.0,811.0,263.0,5.2037,242200.0
-118.51,34.16,23.0,11154.0,1995.0,4076.0,1809.0,5.4609,500001.0
-117.89,33.88,27.0,2091.0,336.0,1037.0,332.0,5.7519,243400.0
-118.61,34.38,2.0,5989.0,883.0,1787.0,613.0,6.6916,329500.0
-116.99,32.72,11.0,1112.0,164.0,441.0,174.0,4.7679,169500.0
-118.53,34.17,18.0,6430.0,1412.0,2897.0,1348.0,3.855,243800.0
-122.48,37.69,33.0,2347.0,512.0,1259.0,481.0,3.4492,264300.0
-117.72,33.61,26.0,2653.0,621.0,774.0,584.0,2.49,81100.0
-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2.425,76100.0
-115.53,32.97,35.0,1583.0,340.0,933.0,318.0,2.4063,70700.0
-119.02,35.35,38.0,1472.0,305.0,670.0,282.0,2.2407,76000.0
-118.13,34.16,52.0,1596.0,314.0,1024.0,292.0,3.6719,227900.0
-118.23,34.13,48.0,737.0,166.0,462.0,131.0,3.5893,212500.0
-121.28,38.14,37.0,3278.0,623.0,1431.0,575.0,3.3987,99500.0
-118.5,34.05,39.0,1487.0,163.0,414.0,160.0,15.0,500001.0
-118.49,34.04,31.0,4066.0,951.0,1532.0,868.0,4.8125,500001.0
-120.47,34.7,24.0,2387.0,385.0,1051.0,382.0,4.4595,152700.0
-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,435700.0
-117.87,34.06,25.0,3652.0,470.0,1525.0,484.0,10.1248,428500.0
-120.62,35.13,26.0,3971.0,803.0,1792.0,723.0,2.7128,209900.0
-119.86,36.78,7.0,2232.0,490.0,1274.0,499.0,2.9853,74700.0
-122.71,38.44,52.0,988.0,283.0,475.0,242.0,1.3684,258300.0
-122.33,37.57,27.0,3085.0,876.0,1453.0,896.0,3.4333,290000.0
-118.29,34.05,18.0,3585.0,1661.0,5229.0,1534.0,1.847,250000.0
-122.41,37.75,52.0,2164.0,606.0,2034.0,513.0,2.0325,178100.0
-118.27,34.07,38.0,1270.0,556.0,1692.0,450.0,1.87,170800.0
-118.18,33.85,30.0,2548.0,717.0,2086.0,700.0,0.7007,134400.0
-118.41,33.85,16.0,6123.0,1989.0,2853.0,1789.0,4.425,336400.0
-119.81,36.76,48.0,2059.0,388.0,834.0,405.0,2.9306,67900.0
-121.56,39.01,22.0,1891.0,340.0,1023.0,296.0,2.7303,99100.0
-121.81,37.26,16.0,1911.0,327.0,1158.0,332.0,5.9359,249500.0
-116.61,33.93,35.0,321.0,71.0,157.0,61.0,2.8056,68100.0
-122.03,37.98,16.0,1209.0,477.0,627.0,482.0,1.3894,156300.0
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,107900.0
-121.07,40.85,17.0,976.0,202.0,511.0,175.0,3.6641,80800.0
-122.17,37.75,48.0,1751.0,390.0,935.0,349.0,1.4375,90000.0
-118.1,34.16,46.0,2863.0,513.0,1412.0,498.0,5.3272,330200.0
-118.35,34.06,52.0,2837.0,602.0,1164.0,551.0,3.2411,250000.0
-121.81,38.43,30.0,1674.0,297.0,756.0,292.0,3.9286,133100.0
-118.52,34.2,35.0,2891.0,594.0,1757.0,581.0,4.3571,199800.0
-122.27,38.29,20.0,3870.0,795.0,2088.0,774.0,3.3021,152700.0
-122.49,38.29,26.0,1726.0,289.0,672.0,251.0,3.8,242100.0
-118.2,34.08,41.0,1807.0,429.0,1699.0,424.0,2.2222,126000.0
-117.58,33.66,4.0,3305.0,644.0,1693.0,597.0,5.2497,215000.0
-118.22,33.94,41.0,928.0,249.0,1108.0,236.0,3.4323,144600.0
-121.46,38.61,43.0,1111.0,269.0,613.0,290.0,1.2917,66300.0
-121.9,38.0,14.0,1930.0,363.0,990.0,322.0,4.1094,162200.0
-118.26,33.97,46.0,1086.0,249.0,880.0,250.0,1.5962,95700.0
-118.33,33.99,44.0,1918.0,387.0,1041.0,364.0,2.8542,126500.0
-121.29,37.96,52.0,287.0,119.0,154.0,85.0,0.8738,75000.0
-118.18,33.9,25.0,1709.0,442.0,1177.0,410.0,2.4333,155000.0
-120.92,38.86,11.0,1720.0,345.0,850.0,326.0,3.2027,128600.0
-118.44,34.28,32.0,527.0,146.0,582.0,143.0,1.7708,138800.0
-117.22,33.18,13.0,4273.0,886.0,2328.0,801.0,3.3444,183900.0
-121.46,38.65,14.0,3167.0,551.0,1787.0,533.0,3.8125,92600.0
-118.42,34.28,34.0,1999.0,427.0,2391.0,439.0,2.8,144300.0
-121.96,37.35,32.0,1484.0,274.0,673.0,272.0,5.2019,279900.0
-117.41,33.96,24.0,4481.0,901.0,2398.0,823.0,3.864,123400.0
-116.86,32.8,19.0,1747.0,291.0,848.0,290.0,4.875,187200.0
-118.36,34.05,45.0,2283.0,,1093.0,475.0,2.5658,252000.0
-122.31,40.47,26.0,2723.0,551.0,1326.0,547.0,2.3594,66000.0
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,193700.0
-119.18,34.19,19.0,2393.0,,1938.0,762.0,1.6953,167400.0
-117.13,34.07,34.0,2405.0,541.0,1342.0,514.0,2.8031,86900.0
-122.09,37.68,41.0,1382.0,353.0,704.0,314.0,3.5114,197500.0
-118.47,34.32,13.0,2664.0,518.0,1468.0,521.0,4.8988,325200.0
-115.53,32.73,14.0,1527.0,325.0,1453.0,332.0,1.735,61200.0
-122.31,37.57,45.0,1165.0,236.0,845.0,251.0,4.1875,267300.0
-118.44,34.05,32.0,1880.0,435.0,798.0,417.0,4.7109,500000.0
-121.91,37.23,27.0,4866.0,668.0,1956.0,659.0,7.3843,405000.0
-121.9,37.1,23.0,1708.0,287.0,670.0,238.0,6.4517,356600.0
-117.86,33.62,23.0,3166.0,411.0,1092.0,345.0,7.9367,500001.0
-118.35,33.93,33.0,2040.0,576.0,2649.0,561.0,2.3375,170600.0
-119.93,38.94,27.0,1709.0,408.0,97.0,44.0,2.4917,200000.0
-118.04,33.97,34.0,1759.0,431.0,1282.0,391.0,3.0491,158200.0
-121.95,37.81,5.0,7178.0,898.0,2823.0,907.0,9.0776,450400.0
-118.32,34.08,52.0,1164.0,257.0,575.0,251.0,3.125,380400.0
-119.81,36.78,35.0,1012.0,245.0,633.0,240.0,2.0324,55500.0
-118.41,34.25,19.0,280.0,84.0,483.0,87.0,1.95,137500.0
-121.52,38.51,23.0,6876.0,1456.0,2942.0,1386.0,3.0963,156900.0
-118.17,33.86,40.0,1301.0,342.0,954.0,336.0,2.3804,158000.0
-117.25,33.39,22.0,2699.0,543.0,1425.0,491.0,2.375,137300.0
-122.82,38.64,29.0,2176.0,385.0,1117.0,374.0,3.8681,188600.0
-122.02,38.26,27.0,3440.0,787.0,2085.0,748.0,2.5896,104700.0
-118.23,33.76,21.0,49.0,14.0,29.0,16.0,5.0,87500.0
-117.92,33.65,15.0,1309.0,477.0,1330.0,424.0,3.4417,182500.0
-121.26,37.99,27.0,429.0,102.0,179.0,90.0,2.3333,87500.0
-122.03,37.91,29.0,5438.0,871.0,2310.0,890.0,5.0362,275300.0
-118.25,33.89,36.0,406.0,71.0,268.0,77.0,3.9,115800.0
-118.28,33.94,44.0,1631.0,338.0,1197.0,355.0,3.0788,100000.0
-118.7,34.28,25.0,2377.0,491.0,1200.0,439.0,4.7083,196100.0
-119.73,36.31,20.0,2440.0,433.0,1579.0,400.0,2.8281,60200.0
-118.02,34.08,29.0,2741.0,667.0,2449.0,677.0,3.6944,175200.0
-122.73,38.46,14.0,4042.0,1298.0,2323.0,1158.0,2.0651,135400.0
-117.97,33.75,32.0,1564.0,270.0,973.0,290.0,3.75,190400.0
-120.58,39.27,15.0,4126.0,903.0,723.0,266.0,3.0147,118800.0
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,395300.0
-123.04,38.49,30.0,3977.0,930.0,1387.0,582.0,2.6161,132500.0
-119.78,36.33,16.0,1006.0,212.0,515.0,200.0,3.2386,112500.0
-118.37,33.88,27.0,1688.0,331.0,811.0,327.0,4.5357,334200.0
-118.08,34.14,52.0,1282.0,189.0,431.0,187.0,6.1159,470800.0
-118.21,34.09,37.0,1822.0,498.0,1961.0,506.0,1.9881,159200.0
-118.33,33.98,32.0,1784.0,489.0,1472.0,476.0,1.6477,108900.0
-119.84,36.83,17.0,2273.0,298.0,700.0,263.0,6.8645,195900.0
-117.49,34.02,35.0,2051.0,427.0,1466.0,425.0,3.6711,108200.0
-117.89,33.77,29.0,2577.0,445.0,1849.0,470.0,4.4732,194800.0
-117.06,32.6,33.0,905.0,205.0,989.0,222.0,2.7014,108200.0
-118.1,33.83,36.0,1408.0,250.0,702.0,251.0,4.875,222500.0
-118.31,33.75,34.0,2338.0,393.0,1031.0,373.0,6.287000000000001,396400.0
-118.31,33.83,27.0,2880.0,802.0,2083.0,727.0,2.9619,223400.0
-117.12,32.69,37.0,1082.0,294.0,1146.0,265.0,2.0673,88500.0
-117.96,33.79,36.0,2398.0,403.0,1261.0,402.0,5.2816,221800.0
